,PageID,VisitID,PageName,CatName,CatID,ExtCatName,ExtCatID,TopicName,TopicID,TimeOnPage,PageScore,SequenceNumber,Referrer,Day,Hour,Length_seconds,Length_pagecount,Type
11002,3065,5906,CATALOG,Info,4,Send catalog,7,In general,1000,"(343.2, 395.4]",609,2,URI_0,Friday,11.0,360.0,5.0,
11112,3065,5959,CATALOG,Info,4,Send catalog,7,In general,1000,"(27.39, 82.2]",156,5,URI_42,Friday,13.0,420.0,8.0,Fulltext
11295,3065,6026,CATALOG,Info,4,Send catalog,7,In general,1000,"(134.4, 186.6]",304,2,URI_0,Friday,16.0,780.0,13.0,
11318,3065,6035,CATALOG,Info,4,Send catalog,7,In general,1000,"(27.39, 82.2]",88,7,URI_0,Friday,17.0,1440.0,11.0,
11453,3065,6111,CATALOG,Info,4,Send catalog,7,In general,1000,"(134.4, 186.6]",180,1,URI_113,Friday,22.0,240.0,3.0,
11795,3065,6281,CATALOG,Info,4,Send catalog,7,In general,1000,"(27.39, 82.2]",101,2,URI_0,Sunday,3.0,120.0,5.0,
11870,3065,6324,CATALOG,Info,4,Send catalog,7,In general,1000,"(27.39, 82.2]",143,4,URI_42,Sunday,11.0,240.0,6.0,Fulltext
11889,3065,6330,CATALOG,Info,4,Send catalog,7,In general,1000,"(27.39, 82.2]",50,2,URI_45,Sunday,12.0,60.0,2.0,Fulltext
11909,3065,6341,CATALOG,Info,4,Send catalog,7,In general,1000,"(27.39, 82.2]",71,4,URI_93,Sunday,13.0,360.0,4.0,Partners
12004,3065,6377,CATALOG,Info,4,Send catalog,7,In general,1000,"(134.4, 186.6]",530,7,URI_0,Sunday,15.0,960.0,7.0,
12177,3065,6443,CATALOG,Info,4,Send catalog,7,In general,1000,"(291.0, 343.2]",507,2,URI_0,Sunday,19.0,420.0,5.0,
12525,3065,6581,CATALOG,Info,4,Send catalog,7,In general,1000,"(238.8, 291.0]",855,13,URI_9,Monday,9.0,1860.0,13.0,Catalogue
12605,3065,6611,CATALOG,Info,4,Send catalog,7,In general,1000,"(134.4, 186.6]",304,2,URI_9,Monday,10.0,420.0,4.0,Catalogue
12609,4250,6612,APPLICATION,Application,5,Application,9,In general,1000,"(27.39, 82.2]",78,5,URI_42,Monday,10.0,540.0,5.0,Fulltext
12621,3065,6617,CATALOG,Info,4,Send catalog,7,In general,1000,"(27.39, 82.2]",101,2,URI_0,Monday,10.0,60.0,2.0,
12665,3065,6641,CATALOG,Info,4,Send catalog,7,In general,1000,"(291.0, 343.2]",629,3,URI_34,Monday,10.0,300.0,3.0,
12718,3065,6664,CATALOG,Info,4,Send catalog,7,In general,1000,"(27.39, 82.2]",50,2,URI_80,Monday,11.0,60.0,2.0,Fulltext
12722,3065,6665,CATALOG,Info,4,Send catalog,7,In general,1000,"(27.39, 82.2]",62,3,URI_0,Monday,11.0,180.0,5.0,
12723,3065,6665,CATALOG,Info,4,Send catalog,7,In general,1000,"(27.39, 82.2]",78,5,URI_0,Monday,11.0,180.0,5.0,
12749,3065,6675,CATALOG,Info,4,Send catalog,7,In general,1000,"(27.39, 82.2]",125,3,URI_0,Monday,11.0,120.0,3.0,
12820,3065,6707,CATALOG,Info,4,Send catalog,7,In general,1000,"(27.39, 82.2]",71,4,URI_0,Monday,12.0,1440.0,5.0,
12841,3065,6717,CATALOG,Info,4,Send catalog,7,In general,1000,"(27.39, 82.2]",60,1,URI_111,Monday,12.0,60.0,2.0,
12883,3065,6730,CATALOG,Info,4,Send catalog,7,In general,1000,"(27.39, 82.2]",30,1,URI_41,Monday,12.0,60.0,4.0,Fulltext
13007,3065,6772,CATALOG,Info,4,Send catalog,7,In general,1000,"(27.39, 82.2]",71,4,URI_39,Monday,13.0,60.0,4.0,Fulltext
13102,3065,6820,CATALOG,Info,4,Send catalog,7,In general,1000,"(82.2, 134.4]",203,2,URI_0,Monday,14.0,240.0,3.0,
