,PageID,VisitID,PageName,CatName,CatID,ExtCatName,ExtCatID,TopicName,TopicID,TimeOnPage,PageScore,SequenceNumber,Referrer,Day,Hour,Length_seconds,Length_pagecount,Type
17194,4469,8655,INSURANCE,Info,1,Insurance,6,In general,1000,"(27.39, 82.2]",62,3,URI_111,Monday,9.0,60.0,3.0,
17379,3075,8716,WHOWEARE,Info,4,Who we are,10,In general,1000,"(27.39, 82.2]",50,2,URI_42,Monday,11.0,60.0,5.0,Fulltext
17878,3075,8896,WHOWEARE,Info,4,Who we are,10,In general,1000,"(27.39, 82.2]",62,3,URI_0,Monday,14.0,120.0,3.0,
17879,3138,8896,INSURANCE,Info,1,Insurance,6,In general,1000,"(27.39, 82.2]",101,2,URI_0,Monday,14.0,120.0,3.0,
18306,3075,9074,WHOWEARE,Info,4,Who we are,10,In general,1000,"(27.39, 82.2]",62,3,URI_44,Monday,21.0,360.0,4.0,Fulltext
18311,3066,9076,DISCOUNT,Info,4,Sales,8,In general,1000,"(27.39, 82.2]",62,3,URI_0,Monday,21.0,240.0,3.0,
18372,3075,9097,WHOWEARE,Info,4,Who we are,10,In general,1000,"(552.0, 604.2]",1675,6,URI_0,Monday,22.0,960.0,7.0,
18380,3066,9101,DISCOUNT,Info,4,Sales,8,In general,1000,"(27.39, 82.2]",62,3,URI_137,Monday,22.0,420.0,3.0,Partners
18386,3075,9104,WHOWEARE,Info,4,Who we are,10,In general,1000,"(395.4, 447.6]",420,1,URI_111,Monday,22.0,480.0,3.0,
18524,3066,9174,DISCOUNT,Info,4,Sales,8,In general,1000,"(27.39, 82.2]",50,2,URI_111,Tuesday,7.0,60.0,2.0,
18528,3075,9176,WHOWEARE,Info,4,Who we are,10,In general,1000,"(27.39, 82.2]",62,3,URI_0,Tuesday,7.0,120.0,3.0,
18534,3075,9177,WHOWEARE,Info,4,Who we are,10,In general,1000,"(27.39, 82.2]",62,3,URI_0,Tuesday,8.0,1740.0,10.0,
18535,3075,9177,WHOWEARE,Info,4,Who we are,10,In general,1000,"(27.39, 82.2]",184,8,URI_0,Tuesday,8.0,1740.0,10.0,
18550,3066,9180,DISCOUNT,Info,4,Sales,8,In general,1000,"(27.39, 82.2]",71,4,URI_111,Tuesday,7.0,120.0,5.0,
